district,dayTime,dayType,area_km2,stops,lines,departures_per_hour,stops_per_km2,lines_per_km2,departures_per_hour_per_km2,connectivity_score
Alsergrund,day,weekday,6.68,78,90,9638,11.68,13.47,1442.76,64
Alsergrund,night,weekday,6.68,76,90,2381,11.38,13.47,356.42,38
Alsergrund,day,weekend,6.68,77,58,5026,11.53,8.68,752.37,41
Alsergrund,night,weekend,6.68,75,58,1342,11.23,8.68,200.89,28
Brigittenau,day,weekday,12.86,105,49,8458,8.16,3.81,657.48,29
Brigittenau,night,weekday,12.86,106,49,1906,8.24,3.81,148.16,17
Brigittenau,day,weekend,12.86,105,33,3879,8.16,2.57,301.53,19
Brigittenau,night,weekend,12.86,106,34,1025,8.24,2.64,79.68,14
Donaustadt,day,weekday,230.26,702,125,26447,3.05,0.54,114.86,7
Donaustadt,night,weekday,230.26,656,109,6577,2.85,0.47,28.56,4
Donaustadt,day,weekend,230.26,689,64,13212,2.99,0.28,57.38,5
Donaustadt,night,weekend,230.26,641,59,3864,2.78,0.26,16.78,4
Döbling,day,weekday,56.23,176,79,8384,3.13,1.4,149.09,9
Döbling,night,weekday,56.23,158,67,1852,2.81,1.19,32.93,5
Döbling,day,weekend,56.23,177,42,4664,3.15,0.75,82.94,6
Döbling,night,weekend,56.23,155,39,1006,2.76,0.69,17.89,4
Favoriten,day,weekday,71.43,306,114,18651,4.28,1.6,261.11,13
Favoriten,night,weekday,71.43,298,117,4286,4.17,1.64,60.0,8
Favoriten,day,weekend,71.43,300,67,9615,4.2,0.94,134.61,9
Favoriten,night,weekend,71.43,298,67,2614,4.17,0.94,36.6,6
Floridsdorf,day,weekday,100.28,344,81,14932,3.43,0.81,148.9,8
Floridsdorf,night,weekday,100.28,285,68,3442,2.84,0.68,34.32,5
Floridsdorf,day,weekend,100.28,331,43,6596,3.3,0.43,65.78,6
Floridsdorf,night,weekend,100.28,274,37,1776,2.73,0.37,17.71,4
Hernals,day,weekday,25.67,115,57,4329,4.48,2.22,168.66,12
Hernals,night,weekday,25.67,108,55,865,4.21,2.14,33.7,8
Hernals,day,weekend,25.67,116,35,2835,4.52,1.36,110.45,9
Hernals,night,weekend,25.67,107,33,626,4.17,1.29,24.39,7
Hietzing,day,weekday,84.75,171,65,6397,2.02,0.77,75.48,5
Hietzing,night,weekday,84.75,171,65,1508,2.02,0.77,17.79,4
Hietzing,day,weekend,84.75,171,39,4023,2.02,0.46,47.47,4
Hietzing,night,weekend,84.75,171,39,960,2.02,0.46,11.33,3
Innere Stadt,day,weekday,6.45,112,152,13484,17.35,23.55,2089.05,98
Innere Stadt,night,weekday,6.45,81,142,2740,12.55,22.0,424.5,51
Innere Stadt,day,weekend,6.45,111,97,7184,17.2,15.03,1113.0,64
Innere Stadt,night,weekend,6.45,79,89,1645,12.24,13.79,254.86,36
Josefstadt,day,weekday,2.45,33,52,4300,13.46,21.2,1753.25,83
Josefstadt,night,weekday,2.45,33,53,919,13.46,21.61,374.71,51
Josefstadt,day,weekend,2.45,33,38,2108,13.46,15.49,859.5,54
Josefstadt,night,weekend,2.45,33,39,523,13.46,15.9,213.24,39
Landstraße,day,weekday,16.65,144,80,10824,8.65,4.81,650.21,31
Landstraße,night,weekday,16.65,133,81,2486,7.99,4.87,149.34,18
Landstraße,day,weekend,16.65,132,50,6191,7.93,3.0,371.9,21
Landstraße,night,weekend,16.65,132,51,1571,7.93,3.06,94.37,14
Leopoldstadt,day,weekday,43.29,184,81,10879,4.25,1.87,251.33,13
Leopoldstadt,night,weekday,43.29,145,73,2208,3.35,1.69,51.01,7
Leopoldstadt,day,weekend,43.29,182,51,5655,4.2,1.18,130.64,9
Leopoldstadt,night,weekend,43.29,136,47,1316,3.14,1.09,30.4,5
Liesing,day,weekday,71.95,327,76,11552,4.54,1.06,160.55,10
Liesing,night,weekday,71.95,288,72,2569,4.0,1.0,35.7,6
Liesing,day,weekend,71.95,304,39,5574,4.22,0.54,77.47,7
Liesing,night,weekend,71.95,285,37,1408,3.96,0.51,19.57,5
Margareten,day,weekday,4.52,53,59,5796,11.72,13.05,1281.54,60
Margareten,night,weekday,4.52,42,55,1231,9.29,12.16,272.18,32
Margareten,day,weekend,4.52,53,43,3475,11.72,9.51,768.35,43
Margareten,night,weekend,4.52,42,41,855,9.29,9.07,189.05,26
Mariahilf,day,weekday,3.27,30,44,3101,9.17,13.45,947.72,49
Mariahilf,night,weekday,3.27,30,40,605,9.17,12.22,184.9,30
Mariahilf,day,weekend,3.27,30,37,1791,9.17,11.31,547.36,37
Mariahilf,night,weekend,3.27,30,35,405,9.17,10.7,123.78,26
Meidling,day,weekday,18.22,174,88,11144,9.55,4.83,611.57,31
Meidling,night,weekday,18.22,153,82,2618,8.4,4.5,143.67,18
Meidling,day,weekend,18.22,169,56,5652,9.27,3.07,310.18,21
Meidling,night,weekend,18.22,150,54,1462,8.23,2.96,80.23,14
Neubau,day,weekday,3.62,65,69,7350,17.97,19.07,2031.7,92
Neubau,night,weekday,3.62,69,71,1579,19.07,19.63,436.47,55
Neubau,day,weekend,3.62,66,57,3732,18.24,15.76,1031.61,64
Neubau,night,weekend,3.62,65,58,927,17.97,16.03,256.24,45
Ottakring,day,weekday,19.52,137,65,7340,7.02,3.33,376.04,21
Ottakring,night,weekday,19.52,133,64,1539,6.81,3.28,78.85,13
Ottakring,day,weekend,19.52,137,40,3813,7.02,2.05,195.35,15
Ottakring,night,weekend,19.52,131,39,906,6.71,2.0,46.42,11
Penzing,day,weekday,76.0,211,69,8067,2.78,0.91,106.15,7
Penzing,night,weekday,76.0,202,65,1622,2.66,0.86,21.34,4
Penzing,day,weekend,76.0,211,45,4199,2.78,0.59,55.25,5
